# commit=96dbb10ad1242db48befb9a827a9ebb4f6b7b1ef elixir=1.19.5 otp=28 schedulers=16
label,pass,repeat,case,n,preparation,execution,coordination,limit,concurrency,elapsed_us,waves,prepared,fan_in_prepared,max_prepared,facts,edges,mapped_entries,request_bytes,response_bytes,max_request_bytes,request_flat_words,max_context_words,retained_external_bytes,owner_peak_bytes,tree_peak_bytes,referenced_binary_peak_bytes,descendant_count,result_ok
baseline,envelopes,1,repeated,128,eager,task,legacy,64,8,,12,1028,512,128,1032,2065,5,33122672,37107616,58794,5315252,6631,4949165,,,,,true
baseline,timing,1,repeated,512,eager,task,legacy,64,8,3236045,12,4100,2048,512,4104,8209,5,0,0,0,0,0,0,,,,,true
baseline,timing,2,repeated,512,eager,task,legacy,64,8,3271474,12,4100,2048,512,4104,8209,5,0,0,0,0,0,0,,,,,true
baseline,timing,3,repeated,512,eager,task,legacy,64,8,3201757,12,4100,2048,512,4104,8209,5,0,0,0,0,0,0,,,,,true
baseline,memory,1,repeated,512,eager,task,legacy,64,8,,12,4100,2048,512,4104,8209,5,0,0,0,0,0,0,46450680,46475656,369371,4112,true
baseline,envelopes,1,repeated,512,eager,task,legacy,64,8,,12,4100,2048,512,4104,8209,5,459694198,475644582,218538,74604468,25791,19630384,,,,,true
baseline,timing,1,stream,128,eager,task,legacy,64,8,43427,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
baseline,timing,2,stream,128,eager,task,legacy,64,8,41076,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
baseline,timing,3,stream,128,eager,task,legacy,64,8,37726,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
baseline,memory,1,stream,128,eager,task,legacy,64,8,,3,257,128,128,258,523,2,0,0,0,0,0,0,7003496,7003496,7722,260,true
baseline,envelopes,1,stream,128,eager,task,legacy,64,8,,3,257,128,128,258,523,2,8241917,9237382,58273,1327621,6619,1261796,,,,,true
baseline,timing,1,stream,512,eager,task,legacy,64,8,534165,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
baseline,timing,2,stream,512,eager,task,legacy,64,8,511867,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
baseline,timing,3,stream,512,eager,task,legacy,64,8,508677,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
baseline,memory,1,stream,512,eager,task,legacy,64,8,,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,22958048,22982816,210971,1028,true
baseline,envelopes,1,stream,512,eager,task,legacy,64,8,,3,1025,512,512,1026,2059,2,114622863,118608164,217773,18645509,25755,4929389,,,,,true
