label,case,n,preparation,execution,coordination,limit,timing_samples,median_ms,owner_peak_MiB,tree_peak_MiB,referenced_binary_peak_MiB,requests_MiB,responses_MiB,fan_in_prepared,max_prepared,facts,edges
compact,deep,512,bounded,inline,legacy,64,3,489.599,10.66,10.66,0.233,14.122,23.978,509,64,2562,5142
compact,deep,512,bounded,task,legacy,64,3,663.202,12.556,12.565,0.092,14.122,23.978,509,64,2562,5142
compact,deep,512,eager,inline,legacy,64,3,498.19,10.669,10.669,0.28,14.137,23.994,512,512,2562,5142
compact,deep,512,eager,task,legacy,64,3,638.434,12.537,12.554,0.264,14.137,23.994,512,512,2562,5142
compact,repeated,128,bounded,inline,legacy,64,3,136.307,4.502,4.502,0.071,5.651,9.451,512,64,1032,2065
compact,repeated,128,bounded,task,legacy,64,3,157.235,6.356,6.356,0.036,5.651,9.451,512,64,1032,2065
compact,repeated,128,eager,inline,legacy,64,3,108.281,7.284,7.284,0.205,5.651,9.451,512,128,1032,2065
compact,repeated,128,eager,task,legacy,64,3,137.391,10.665,10.665,0.092,5.651,9.451,512,128,1032,2065
compact,repeated,512,bounded,inline,legacy,64,3,1687.219,12.52,12.52,0.327,22.434,37.634,2019,64,4104,8209
compact,repeated,512,bounded,task,legacy,64,3,1796.035,21.463,21.463,0.092,22.434,37.634,2019,64,4104,8209
compact,repeated,512,eager,inline,legacy,64,3,1392.168,10.688,10.688,0.364,22.585,37.796,2048,512,4104,8209
compact,repeated,512,eager,task,legacy,64,3,1635.759,22.906,22.906,0.164,22.585,37.796,2048,512,4104,8209
compact,stream,128,bounded,inline,legacy,64,3,22.957,1.063,1.063,0.003,1.411,2.361,128,64,258,523
compact,stream,128,bounded,task,legacy,64,3,29.332,4.552,4.552,0.052,1.411,2.361,128,64,258,523
compact,stream,128,eager,inline,legacy,64,3,19.529,1.063,1.063,0.007,1.411,2.361,128,128,258,523
compact,stream,128,eager,task,legacy,64,3,25.988,4.532,4.543,0.03,1.411,2.361,128,128,258,523
compact,stream,512,bounded,inline,legacy,64,3,235.726,7.284,7.284,0.114,5.577,9.373,500,64,1026,2059
compact,stream,512,bounded,task,legacy,64,3,265.17,9.177,9.177,0.065,5.577,9.373,500,64,1026,2059
compact,stream,512,eager,inline,legacy,64,3,190.06,4.502,4.502,0.054,5.64,9.44,512,512,1026,2059
compact,stream,512,eager,task,legacy,64,3,217.92,10.717,10.717,0.068,5.64,9.44,512,512,1026,2059
compact,sum,128,bounded,inline,legacy,64,3,23.634,1.72,1.72,0.004,1.411,2.361,128,64,258,523
compact,sum,128,bounded,task,legacy,64,3,28.555,4.561,4.57,0.02,1.411,2.361,128,64,258,523
compact,sum,128,eager,inline,legacy,64,3,22.023,1.72,1.72,0.013,1.411,2.361,128,128,258,523
compact,sum,128,eager,peer_tcp,legacy,64,3,127.661,,,,,,128,128,258,523
compact,sum,128,eager,task,legacy,64,3,26.278,2.807,2.83,0.005,1.411,2.361,128,128,258,523
compact,sum,2048,eager,inline,legacy,64,3,3044.978,18.274,18.274,0.306,22.579,37.794,2048,2048,4098,8203
compact,sum,512,bounded,inline,legacy,64,3,241.089,7.284,7.284,0.094,5.643,9.444,512,64,1026,2059
compact,sum,512,bounded,task,legacy,64,3,291.944,10.718,10.727,0.06,5.643,9.444,512,64,1026,2059
compact,sum,512,eager,inline,legacy,64,3,190.673,4.502,4.502,0.036,5.643,9.444,512,512,1026,2059
compact,sum,512,eager,peer_tcp,legacy,64,3,371.132,,,,,,512,512,1026,2059
compact,sum,512,eager,task,legacy,64,3,241.463,10.7,10.719,0.116,5.643,9.444,512,512,1026,2059
foundation,binary,128,bounded,inline,legacy,64,3,17.056,1.72,1.72,0.185,2.074,3.522,115,64,258,523
foundation,binary,128,bounded,task,legacy,64,3,21.899,2.784,2.784,0.524,2.167,3.62,128,64,258,523
foundation,binary,128,eager,inline,legacy,64,3,12.642,1.72,1.72,0.144,2.167,3.62,128,128,258,523
foundation,binary,128,eager,peer_tcp,legacy,64,3,125.139,,,,,,128,128,258,523
foundation,binary,128,eager,task,legacy,64,3,17.798,1.727,1.739,0.524,2.167,3.62,128,128,258,523
foundation,binary,512,bounded,inline,legacy,64,3,120.516,7.284,7.284,1.027,8.57,14.38,499,64,1026,2059
foundation,binary,512,bounded,task,legacy,64,3,130.245,9.128,9.128,1.858,8.577,14.387,500,64,1026,2059
foundation,binary,512,eager,inline,legacy,64,3,59.119,4.502,4.502,2.907,8.663,14.478,512,512,1026,2059
foundation,binary,512,eager,peer_tcp,legacy,64,3,249.151,,,,,,512,512,1026,2059
foundation,binary,512,eager,task,legacy,64,3,63.282,9.173,9.173,3.433,8.663,14.478,512,512,1026,2059
foundation,collect,128,bounded,inline,legacy,64,3,13.444,2.783,2.783,0.064,1.411,2.361,128,64,258,523
foundation,collect,128,bounded,task,legacy,64,3,16.946,1.74,1.75,0.02,1.411,2.361,128,64,258,523
foundation,collect,128,eager,inline,legacy,64,3,9.642,1.063,1.063,0.0,1.411,2.361,128,128,258,523
foundation,collect,128,eager,peer_tcp,legacy,64,3,115.846,,,,,,128,128,258,523
foundation,collect,128,eager,task,legacy,64,3,13.194,1.562,1.574,0.018,1.411,2.361,128,128,258,523
foundation,collect,2048,eager,inline,legacy,64,3,174.246,15.607,15.607,0.363,22.579,37.794,2048,2048,4098,8203
foundation,collect,512,bounded,inline,legacy,64,3,97.389,7.284,7.284,0.071,5.555,9.349,495,64,1026,2059
foundation,collect,512,bounded,task,legacy,64,3,113.409,7.426,7.443,0.15,5.643,9.444,512,64,1026,2059
foundation,collect,512,eager,inline,legacy,64,3,37.395,7.284,7.284,0.065,5.643,9.444,512,512,1026,2059
foundation,collect,512,eager,peer_tcp,legacy,64,3,221.063,,,,,,512,512,1026,2059
foundation,collect,512,eager,task,legacy,64,3,42.538,7.454,7.461,0.138,5.643,9.444,512,512,1026,2059
foundation,collect,8192,eager,inline,legacy,64,3,901.925,47.223,47.223,0.366,90.325,151.196,8192,8192,16386,32779
foundation,deep,128,bounded,inline,legacy,64,3,29.72,4.502,4.502,0.077,3.528,5.99,127,64,642,1302
foundation,deep,128,bounded,task,legacy,64,3,35.79,4.544,4.544,0.06,3.533,5.995,128,64,642,1302
foundation,deep,128,eager,inline,legacy,64,3,26.098,4.502,4.502,0.057,3.533,5.995,128,128,642,1302
